Phase,Phase name,Workloads,Servers,Design MW,CAPEX (EUR mm),Cumulative CAPEX %,Hybrid eligible (class)
1,Sovereign core,Digital identity / LuxTrust; Core government applications,136,0.27,5.2,16.2,no
2,Security and defense,Defense classified compute; Cybersecurity / SOC / telemetry,198,0.51,12.4,55.1,no
3,State record,Data platforms & analytics,98,0.22,5.6,72.6,no
4,Elective,AI / sovereign model serving; Scientific / public research,94,0.33,8.7,100.0,yes
