Phase,Phase name,Workloads,Servers,Design MW,CAPEX (EUR mm),Cumulative CAPEX %,Hybrid eligible (class)
1,Sovereign core,Digital identity / gov.gr Wallet; Core government applications,914,1.8,34.3,24.2,no
2,Security and defense,Defense classified compute; Cybersecurity / SOC / telemetry,916,2.37,57.6,64.8,no
3,State record,Data platforms & analytics,483,1.0,25.4,82.7,no
4,Elective,AI / sovereign model serving; Scientific / public research,260,0.93,24.6,100.0,yes
