Phase,Phase name,Workloads,Servers,Design MW,CAPEX (EUR mm),Cumulative CAPEX %,Hybrid eligible (class)
1,Sovereign core,Digital identity / Chave Movel Digital; Core government applications,920,1.81,34.6,23.1,no
2,Security and defense,Defense classified compute; Cybersecurity / SOC / telemetry,928,2.39,58.1,61.9,no
3,State record,Data platforms & analytics,517,1.06,26.9,79.9,no
4,Elective,AI / sovereign model serving; Scientific / public research,320,1.13,30.0,100.0,yes
