Phase,Phase name,Workloads,Servers,Design MW,CAPEX (EUR mm),Cumulative CAPEX %,Hybrid eligible (class)
1,Sovereign core,Digital identity / DigiD; Core government applications,1667,3.28,62.6,18.5,no
2,Security and defense,Defense classified compute; Cybersecurity / SOC / telemetry,1600,4.11,99.7,47.9,no
3,State record,Data platforms & analytics,1206,2.48,62.8,66.4,no
4,Elective,AI / sovereign model serving; Scientific / public research,1218,4.3,113.9,100.0,yes
