Phase,Phase name,Workloads,Servers,Design MW,CAPEX (EUR mm),Cumulative CAPEX %,Hybrid eligible (class)
1,Sovereign core,Digital identity / ROeID; Core government applications,1448,2.85,54.3,19.5,no
2,Security and defense,Defense classified compute; Cybersecurity / SOC / telemetry,2214,5.87,143.1,70.9,no
3,State record,Data platforms & analytics,834,1.72,43.6,86.6,no
4,Elective,AI / sovereign model serving; Scientific / public research,398,1.41,37.4,100.0,yes
