Phase,Phase name,Workloads,Servers,Design MW,CAPEX (EUR mm),Cumulative CAPEX %,Hybrid eligible (class)
1,Sovereign core,Digital identity / e-Gradani; Core government applications,323,0.64,12.2,23.5,no
2,Security and defense,Defense classified compute; Cybersecurity / SOC / telemetry,332,0.88,21.5,65.0,no
3,State record,Data platforms & analytics,177,0.36,9.2,82.8,no
4,Elective,AI / sovereign model serving; Scientific / public research,98,0.34,8.9,100.0,yes
